any_restatement,restatement_fraud,restatement_error,restatement_other,restatement_accrules,restatement_chng_netincome,restatement_neg_chng_netincome,gvkey,fyear,cboard,supermajor,ppill,goldenparachute,eindex,sum_own,tobins_q,ln_q,ln_at,debt_ratio,capex,rd_to_at_zero,rd_to_sales_zero,rd_missing,sum_own_sq,return_on_asset,stkname,instown_perc,sector
0,0,0,0,0,0,0,1056,2006,1,0,1,1,3,0,1.605151,.473218,6.458373,.006528,.0242813,.1189614,.1375384,0,0,.0440361,"AEROFLEX INC",.9125333,"Measuring and Control Equipment"
0,0,0,0,0,0,0,1072,1999,0,0,0,0,0,0,1.513519,.4144376,6.964173,.0319515,.0923547,.0194908,.0165576,0,0,.0392386,"AVX CORP NEW",.2181329,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2000,1,0,0,0,1,0,5.301222,1.667937,7.176507,.0231516,.131787,.0175231,.0140627,0,0,.1199482,"AVX CORP NEW",.2211742,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2001,1,0,0,0,1,0,1.798488,.5869461,7.541735,.0137367,.1205996,.0138529,.0100126,0,0,.2611713,"AVX CORP NEW",.2419314,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2002,1,0,0,0,1,0,2.288265,.8277938,7.43343,.0090642,.0445998,.0125213,.0169451,0,0,-.0042752,"AVX CORP NEW",.2342276,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2003,1,0,0,0,1,0,1.059213,.0575264,7.438685,.0020123,.0224956,.0125603,.0188333,0,0,-.0073143,"AVX CORP NEW",.2533467,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2004,1,0,0,0,1,0,1.885504,.6341951,7.419307,.0000156,.0202125,.0083202,.0122095,0,0,-.0645168,"AVX CORP NEW",.2767603,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2005,1,0,0,0,1,0,1.4021,.337971,7.432335,0,.0285983,.0065388,.0086105,0,0,.0329824,"AVX CORP NEW",.2918116,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2011,1,0,0,0,1,.048,1.214445,.1942868,7.749099,0,.0118432,.0031869,.0044714,0,.002304,.1051972,"AVX CORP",.2510282,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2012,1,0,0,0,1,.059,1.051007,.0497489,7.811168,0,.0199355,.0031264,.0049934,0,.003481,.0619142,"AVX CORP",.2411574,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2013,1,0,0,0,1,.043,1.011642,.0115749,7.864034,0,.0167967,.0027479,.0050551,0,.001849,-.0247164,"AVX CORP",.2497041,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2014,1,0,0,0,1,.054,1.06877,.0665081,7.776949,0,.011239,.0044084,.0072882,0,.002916,.0532653,"AVX CORP",.2460801,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2015,1,0,0,0,1,.058,1.106684,.1013686,7.807516,0,.0108169,.0048601,.0088315,0,.003364,.0918543,"AVX CORP",.2486798,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2016,1,0,0,0,1,.033,.96727,-.0332777,7.787307,0,.0199612,.005678,.0114451,0,.001089,.0421339,"AVX CORP",.2472068,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2017,1,0,0,0,2,.033,1.215248,.1949478,7.81497,0,.0267569,.0066573,.0125646,0,.001089,.0507727,"AVX CORP",.2495754,"Electronic Equipment"
0,0,0,0,0,0,0,1072,2018,1,0,0,0,2,.057,1.198762,.1812894,7.890869,0,.0376153,.0066919,.0114472,0,.003249,.001837,"AVX CORP",.2486344,"Electronic Equipment"
0,0,0,0,0,0,0,1075,1998,1,0,1,1,3,0,.9948694,-.0051438,8.828281,.3510616,.0467638,0,0,1,0,.0370127,"PINNACLE WEST CAP CORP",.7133359,"Utilities"
0,0,0,0,0,0,0,1075,1999,1,0,1,1,3,0,.8787996,-.1291984,8.796113,.3569869,.0519706,0,0,1,0,.0409757,"PINNACLE WEST CAP CORP",.7204562,"Utilities"
0,0,0,0,0,0,0,1075,2000,1,0,1,1,3,0,1.071902,.0694343,8.874749,.3498775,.0921239,0,0,1,0,.0422892,"PINNACLE WEST CAP CORP",.7314787,"Utilities"
0,0,0,0,0,0,0,1075,2001,1,0,1,1,3,0,.9981971,-.0018045,8.984913,.4015386,.1303706,0,0,1,0,.0410145,"PINNACLE WEST CAP CORP",.6880355,"Utilities"
0,0,0,0,0,0,0,1075,2002,1,0,1,1,3,0,.9069117,-.0977102,9.039054,.3874883,.1062832,0,0,1,0,.025535,"PINNACLE WEST CAP CORP",.7516545,"Utilities"
0,0,0,0,0,0,0,1075,2003,1,0,1,1,3,0,.9469729,-.0544848,9.162869,.3575032,.0758065,0,0,1,0,.0241786,"PINNACLE WEST CAP CORP",.6888244,"Utilities"
0,0,0,0,0,0,0,1075,2004,1,0,1,1,3,0,.9897722,-.0102805,9.199962,.3307329,.0560329,0,0,1,0,.0237672,"PINNACLE WEST CAP CORP",.7457735,"Utilities"
